iso3,gid,name,desert_share,dryland_share,humid_share,area_km2,pixels_classified,mean_dn_1992,mean_dn_2022,majority_arid,light_scopes,in_light_scope,dark_2022,cell
LBY,LBY.21_1,Wadi al Hayat,1.0,1.0,0.0,33274.7528,43346,0.2479,1.4051,True,,False,True,desert_dark
LBY,LBY.22_1,Wadi ash Shati',1.0,1.0,0.0,93596.5575,123599,0.1034,0.252,True,dark_wide,True,True,desert_dark
MRT,MRT.1_1,Adrar,1.0,1.0,0.0,222152.8776,277987,0.0009,0.0079,True,dark;dark_wide,True,True,desert_dark
MRT,MRT.2_1,Assaba,1.0,1.0,0.0,35861.967,43729,0.0,0.0426,True,,False,True,desert_dark
MRT,MRT.3_1,Brakna,1.0,1.0,0.0,33199.7131,40622,0.0002,0.0565,True,,False,True,desert_dark
MRT,MRT.4_1,Dakhlet Nouadhibou,1.0,1.0,0.0,17467.1103,21826,0.0716,0.2474,True,,False,True,desert_dark
MRT,MRT.5_1,Gorgol,0.998,1.0,0.0,13797.96,16776,0.0055,0.1459,True,,False,True,desert_dark
MRT,MRT.6_1,Guidimaka,0.8558,1.0,0.0,10696.4458,12966,0.0,0.073,True,,False,True,desert_dark
MRT,MRT.7_1,Hodh ech Chargui,1.0,1.0,0.0,186466.1446,229434,0.0,0.0066,True,dark;dark_wide,True,True,desert_dark
MRT,MRT.8_1,Hodh el Gharbi,1.0,1.0,0.0,50266.3438,61288,0.0,0.0149,True,dark_wide,True,True,desert_dark
MRT,MRT.9_1,Inchiri,1.0,1.0,0.0,44674.3295,55531,0.0,0.0985,True,,False,True,desert_dark
MRT,MRT.10_1,Nouakchott,1.0,1.0,0.0,1490.8842,1833,2.9327,17.1134,True,,False,False,lit_desert
MRT,MRT.11_1,Tagant,1.0,1.0,0.0,94895.2606,116963,0.0,0.0031,True,dark;dark_wide,True,True,desert_dark
MRT,MRT.12_1,Tiris Zemmour,1.0,1.0,0.0,261419.0648,334616,0.0051,0.0214,True,dark_wide,True,True,desert_dark
MRT,MRT.13_1,Trarza,1.0,1.0,0.0,68794.9302,84486,0.0037,0.0732,True,,False,True,desert_dark
EGY,EGY.1_1,Ad Daqahliyah,1.0,1.0,0.0,3707.6425,5048,20.2878,40.2281,True,,False,False,lit_desert
EGY,EGY.2_1,Al Bahr al Ahmar,1.0,1.0,0.0,104667.6695,134945,0.2983,0.8948,True,dark_wide,True,True,desert_dark
EGY,EGY.3_1,Al Buhayrah,1.0,1.0,0.0,11439.5882,15499,7.8596,22.4197,True,,False,False,lit_desert
EGY,EGY.4_1,Al Fayyum,1.0,1.0,0.0,5844.3685,7817,6.4197,18.9647,True,,False,False,lit_desert
EGY,EGY.5_1,Al Gharbiyah,1.0,1.0,0.0,2001.5566,2719,23.6773,46.8694,True,,False,False,lit_desert
EGY,EGY.6_1,Al Iskandariyah,1.0,1.0,0.0,2551.1488,3464,16.8637,31.7332,True,,False,False,lit_desert
EGY,EGY.7_1,Al Isma`iliyah,1.0,1.0,0.0,5690.3184,7702,6.8557,16.8263,True,,False,False,lit_desert
EGY,EGY.8_1,Al Jizah,1.0,1.0,0.0,36363.9601,48422,2.1896,5.3509,True,,False,True,desert_dark
EGY,EGY.9_1,Al Minufiyah,1.0,1.0,0.0,2169.1193,2934,25.9848,49.5815,True,,False,False,lit_desert
EGY,EGY.10_1,Al Minya,1.0,1.0,0.0,31381.4018,41491,2.1434,5.9073,True,,False,True,desert_dark
EGY,EGY.11_1,Al Qahirah,1.0,1.0,0.0,2896.8983,3899,16.6997,46.1646,True,,False,False,lit_desert
EGY,EGY.12_1,Al Qalyubiyah,1.0,1.0,0.0,1149.9849,1553,42.5139,60.3243,True,,False,False,lit_desert
EGY,EGY.13_1,Al Uqsur,1.0,1.0,0.0,614.9299,796,18.9484,34.9987,True,,False,False,lit_desert
EGY,EGY.14_1,Al Wadi al Jadid,1.0,1.0,0.0,426317.4779,548372,0.0351,0.2278,True,dark;dark_wide,True,True,desert_dark
EGY,EGY.15_1,As Suways,1.0,1.0,0.0,9408.4987,12627,2.1628,10.5394,True,,False,False,lit_desert
EGY,EGY.16_1,Ash Sharqiyah,1.0,1.0,0.0,5335.3653,7231,20.3773,41.4922,True,,False,False,lit_desert
EGY,EGY.17_1,Aswan,1.0,1.0,0.0,61090.2561,77691,0.8544,2.0168,True,,False,True,desert_dark
EGY,EGY.18_1,Asyut,1.0,1.0,0.0,16483.07,21646,3.6672,7.9009,True,,False,False,lit_desert
EGY,EGY.19_1,Bani Suwayf,1.0,1.0,0.0,10686.6838,14225,3.2669,9.8452,True,,False,False,lit_desert
EGY,EGY.20_1,Bur Sa`id,1.0,1.0,0.0,1459.1675,1987,2.8969,19.4608,True,,False,False,lit_desert
EGY,EGY.21_1,Dumyat,1.0,1.0,0.0,933.1019,1274,18.2364,40.9,True,,False,False,lit_desert
EGY,EGY.22_1,Janub Sina',1.0,1.0,0.0,29272.7741,39041,1.1106,2.2721,True,,False,True,desert_dark
EGY,EGY.23_1,Kafr ash Shaykh,1.0,1.0,0.0,3766.0335,5139,10.0575,24.2673,True,,False,False,lit_desert
EGY,EGY.24_1,Matrouh,1.0,1.0,0.0,158547.7218,212848,0.371,1.4826,True,,False,True,desert_dark
EGY,EGY.25_1,Qina,1.0,1.0,0.0,13194.1006,17127,5.7113,11.4887,True,,False,False,lit_desert
EGY,EGY.26_1,Shamal Sina',1.0,1.0,0.0,26558.0206,35908,0.3998,2.3076,True,,False,True,desert_dark
EGY,EGY.27_1,Suhaj,1.0,1.0,0.0,10081.5722,13163,6.7239,12.6312,True,,False,False,lit_desert
SDN,SDN.1_1,Al Jazirah,1.0,1.0,0.0,24237.9876,29275,0.8798,5.585,True,,False,True,desert_dark
SDN,SDN.2_1,Al Qadarif,0.4382,1.0,0.0,64052.4779,77229,0.0435,0.3399,False,,False,True,anomalously_dark
SDN,SDN.3_1,Blue Nile,0.0,0.9646,0.001,37023.5604,44144,0.0128,0.2816,False,,False,True,anomalously_dark
SDN,SDN.4_1,Central Darfur,0.0171,1.0,0.0,37093.034,44397,0.0006,0.0278,False,dark_wide,True,True,anomalously_dark
SDN,SDN.5_1,East Darfur,0.3577,1.0,0.0,55146.8069,65699,0.0006,0.0908,False,,False,True,anomalously_dark
SDN,SDN.6_1,Kassala,1.0,1.0,0.0,45618.3878,55461,0.0912,0.454,True,,False,True,desert_dark
SDN,SDN.7_1,Khartoum,1.0,1.0,0.0,21142.9785,25686,2.2333,8.4661,True,,False,False,lit_desert
SDN,SDN.8_1,North Darfur,0.9945,1.0,0.0,317150.1015,386249,0.0028,0.023,True,dark;dark_wide,True,True,desert_dark
SDN,SDN.9_1,North Kurdufan,0.9978,1.0,0.0,188212.9799,227635,0.0155,0.114,True,,False,True,desert_dark
SDN,SDN.10_1,Northern,1.0,1.0,0.0,366460.4702,454470,0.0109,0.2423,True,,False,True,desert_dark
SDN,SDN.11_1,Red Sea,0.9999,1.0,0.0,216548.443,268984,0.0199,0.1311,True,,False,True,desert_dark
SDN,SDN.12_1,River Nile,1.0,1.0,0.0,126149.6452,155345,0.0612,0.731,True,,False,True,desert_dark
