iso3,gid,name,desert_share,dryland_share,humid_share,area_km2,pixels_classified,mean_dn_1992,mean_dn_2022,majority_arid,light_scopes,in_light_scope,dark_2022,cell
ECU,ECU.9_1,Galápagos,0.2947,1.0,0.0,7964.4934,9318,0.0337,0.3884,False,,False,True,anomalously_dark
ECU,ECU.10_1,Guayas,0.0001,0.2132,0.7868,15810.3573,18509,3.9644,11.8113,False,,False,False,ordinary
ECU,ECU.11_1,Imbabura,0.0,0.0635,0.9365,4777.3235,5589,1.4715,7.5749,False,,False,False,ordinary
ECU,ECU.12_1,Loja,0.007,0.4707,0.5293,11059.1127,12970,0.3352,3.5031,False,,False,False,ordinary
ECU,ECU.13_1,Los Rios,0.0,0.0,1.0,7255.974,8491,1.2012,7.4845,False,,False,False,ordinary
ECU,ECU.14_1,Manabi,0.0059,0.2579,0.7421,19442.4819,22748,1.1542,5.9785,False,,False,False,ordinary
ECU,ECU.15_1,Morona Santiago,0.0,0.0,1.0,23942.6099,28038,0.0121,1.0446,False,,False,True,anomalously_dark
ECU,ECU.16_1,Napo,0.0,0.0,1.0,12511.5205,14638,0.0471,1.4505,False,,False,True,anomalously_dark
ECU,ECU.17_1,Orellana,0.0,0.0,1.0,21589.0676,25259,0.7174,3.833,False,,False,False,ordinary
ECU,ECU.18_1,Pastaza,0.0,0.0,1.0,29477.9136,34501,0.0241,0.3353,False,,False,True,anomalously_dark
ECU,ECU.19_1,Pichincha,0.0,0.0331,0.9669,9458.2297,11065,4.3818,12.6134,False,,False,False,ordinary
ECU,ECU.20_1,Santa Elena,0.0262,0.9486,0.0514,3687.6344,4317,1.4986,6.9414,False,,False,False,ordinary
ECU,ECU.21_1,Santo Domingo de los Tsachilas,0.0,0.0,1.0,3768.7376,4409,0.9944,9.0085,False,,False,False,ordinary
ECU,ECU.22_1,Sucumbios,0.0,0.0,1.0,17942.8636,20991,2.5451,4.7877,False,,False,False,ordinary
ECU,ECU.23_1,Tungurahua,0.0,0.1325,0.8675,3385.8572,3962,2.6388,15.2182,False,,False,False,ordinary
ECU,ECU.24_1,Zamora Chinchipe,0.0,0.0,1.0,10518.1769,12337,0.0313,1.4293,False,,False,True,anomalously_dark
GUY,GUY.1_1,Barima-Waini,0.0,0.0,1.0,19496.1189,23006,0.0,0.0173,False,,False,True,anomalously_dark
GUY,GUY.2_1,Cuyuni-Mazaruni,0.0,0.0,1.0,47221.2927,55556,0.0087,0.0294,False,,False,True,anomalously_dark
GUY,GUY.3_1,Demerara-Mahaica,0.0,0.0,1.0,2106.6531,2480,1.3404,6.0362,False,,False,False,ordinary
GUY,GUY.4_1,East Berbice-Corentyne,0.0,0.0,1.0,35195.8071,41256,0.0128,0.1281,False,,False,True,anomalously_dark
GUY,GUY.5_1,Essequibo Islands-West Demerara,0.0,0.0,1.0,3281.552,3864,0.3724,2.6703,False,,False,False,ordinary
GUY,GUY.6_1,Mahaica-Berbice,0.0,0.0,1.0,4026.063,4737,0.065,0.834,False,,False,True,anomalously_dark
GUY,GUY.7_1,Pomeroon-Supenaam,0.0,0.0,1.0,5954.1007,7019,0.0198,0.3882,False,,False,True,anomalously_dark
GUY,GUY.8_1,Potaro-Siparuni,0.0,0.0,1.0,19355.1614,22723,0.0,0.0054,False,,False,True,anomalously_dark
GUY,GUY.9_1,Upper Demerara-Berbice,0.0,0.0,1.0,16572.3608,19471,0.1269,0.3169,False,,False,True,anomalously_dark
GUY,GUY.10_1,Upper Takutu-Upper Essequibo,0.0,0.0,1.0,56539.8109,66229,0.0,0.0163,False,,False,True,anomalously_dark
PRY,PRY.1_1,Alto Paraguay,0.0,0.9667,0.0333,77470.4501,96665,0.0028,0.0383,False,,False,True,anomalously_dark
PRY,PRY.2_1,Alto Paraná,0.0,0.0,1.0,14125.4478,18247,0.8587,5.207,False,,False,False,ordinary
PRY,PRY.3_1,Amambay,0.0,0.0,1.0,12533.1449,15882,0.1857,1.2243,False,,False,True,anomalously_dark
PRY,PRY.4_1,Asunción,0.0,0.0,1.0,130.9453,169,58.3511,62.3048,False,,False,False,ordinary
PRY,PRY.5_1,Boquerón,0.0,1.0,0.0,88526.0297,111427,0.0019,0.1759,False,,False,True,anomalously_dark
PRY,PRY.6_1,Caaguazú,0.0,0.0,1.0,12895.67,16631,0.2832,3.6735,False,,False,False,ordinary
PRY,PRY.7_1,Caazapá,0.0,0.0,1.0,9541.7023,12412,0.0266,1.9867,False,,False,False,ordinary
PRY,PRY.8_1,Canindeyú,0.0,0.0,1.0,15027.5881,19235,0.052,1.85,False,,False,False,ordinary
PRY,PRY.9_1,Central,0.0,0.0,1.0,2426.3647,3138,11.7257,29.1611,False,,False,False,ordinary
PRY,PRY.10_1,Concepción,0.0,0.0,1.0,18773.2919,23783,0.0566,1.5395,False,,False,True,anomalously_dark
